title,genre,cast,director,story_tags,mood_tag,goal_tag,poster_url
Superman Returns,Adventure | Fantasy | Action | Science Fiction,Brandon Routh | Kevin Spacey | Kate Bosworth | James Marsden | Parker Posey,Bryan Singer,"Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest too felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel.",sad,general,http://www.superman.com
Quantum of Solace,Adventure | Action | Thriller | Crime,Daniel Craig | Olga Kurylenko | Mathieu Amalric | Judi Dench | Giancarlo Giannini,Marc Forster,"Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.",happy,relationships,http://www.mgm.com/view/movie/234/Quantum-of-Solace/
Pirates of the Caribbean: Dead Man's Chest,Adventure | Fantasy | Action,Johnny Depp | Orlando Bloom | Keira Knightley | Stellan Skarsgård | Bill Nighy,Gore Verbinski,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",neutral,general,http://disney.go.com/disneypictures/pirates/
The Lone Ranger,Action | Adventure | Western,Johnny Depp | Armie Hammer | William Fichtner | Helena Bonham Carter | James Badge Dale,Gore Verbinski,"The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.",neutral,general,http://disney.go.com/the-lone-ranger/
Man of Steel,Action | Adventure | Fantasy | Science Fiction,Henry Cavill | Amy Adams | Michael Shannon | Kevin Costner | Diane Lane,Zack Snyder,"A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.",excited,general,http://www.manofsteel.com/
The Chronicles of Narnia: Prince Caspian,Adventure | Family | Fantasy,Ben Barnes | William Moseley | Anna Popplewell | Skandar Keynes | Georgie Henley,Andrew Adamson,"One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir.",sad,entertainment,
The Avengers,Science Fiction | Action | Adventure,Robert Downey Jr. | Chris Evans | Mark Ruffalo | Chris Hemsworth | Scarlett Johansson,Joss Whedon,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",neutral,general,http://marvel.com/avengers_movie/
Pirates of the Caribbean: On Stranger Tides,Adventure | Action | Fantasy,Johnny Depp | Penélope Cruz | Ian McShane | Kevin McNally | Geoffrey Rush,Rob Marshall,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.",happy,relationships,http://disney.go.com/pirates/index-on-stranger-tides.html#/video/
Men in Black 3,Action | Comedy | Science Fiction,Will Smith | Tommy Lee Jones | Josh Brolin | Michael Stuhlbarg | Emma Thompson,Barry Sonnenfeld,"Agents J (Will Smith) and K (Tommy Lee Jones) are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K (Josh Brolin) to save his partner, the agency, and the future of humankind.",neutral,general,http://www.sonypictures.com/movies/meninblack3/
The Hobbit: The Battle of the Five Armies,Action | Adventure | Fantasy,Martin Freeman | Ian McKellen | Richard Armitage | Ken Stott | Graham McTavish,Peter Jackson,"Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.",sad,general,http://www.thehobbit.com/
The Amazing Spider-Man,Action | Adventure | Fantasy,Andrew Garfield | Emma Stone | Rhys Ifans | Denis Leary | Campbell Scott,Marc Webb,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.",excited,general,http://www.theamazingspiderman.com
Robin Hood,Action | Adventure,Russell Crowe | Cate Blanchett | Max von Sydow | William Hurt | Mark Strong,Ridley Scott,"When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey.",neutral,relationships,http://www.robinhoodthemovie.com/
The Hobbit: The Desolation of Smaug,Adventure | Fantasy,Martin Freeman | Ian McKellen | Richard Armitage | Ken Stott | Graham McTavish,Peter Jackson,"The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.",sad,self growth,http://www.thehobbit.com/
The Golden Compass,Adventure | Fantasy,Dakota Blue Richards | Nicole Kidman | Daniel Craig | Sam Elliott | Eva Green,Chris Weitz,"After overhearing a shocking secret, precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North, unaware that it's part of her destiny.",sad,entertainment,http://www.goldencompassmovie.com/index_german.html
King Kong,Adventure | Drama | Action,Naomi Watts | Jack Black | Adrien Brody | Thomas Kretschmann | Colin Hanks,Peter Jackson,"In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.",neutral,general,
Titanic,Drama | Romance | Thriller,Kate Winslet | Leonardo DiCaprio | Frances Fisher | Billy Zane | Kathy Bates,James Cameron,"84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning.",happy,relationships,http://www.titanicmovie.com
Captain America: Civil War,Adventure | Action | Science Fiction,Chris Evans | Robert Downey Jr. | Scarlett Johansson | Sebastian Stan | Anthony Mackie,Anthony Russo,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.",excited,general,http://marvel.com/captainamericapremiere
Battleship,Thriller | Action | Adventure | Science Fiction,Taylor Kitsch | Alexander Skarsgård | Rihanna | Brooklyn Decker | Tadanobu Asano,Peter Berg,"When mankind beams a radio signal into space, a reply comes from ‘Planet G’, in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders, Hopper must also try to live up to the potential his brother, and his fiancée's father, Admiral Shane, expect of him.",neutral,general,
Jurassic World,Action | Adventure | Science Fiction | Thriller,Chris Pratt | Bryce Dallas Howard | Irrfan Khan | Vincent D'Onofrio | Nick Robinson,Colin Trevorrow,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",happy,general,http://www.jurassicworld.com/
Skyfall,Action | Adventure | Thriller,Daniel Craig | Judi Dench | Javier Bardem | Ralph Fiennes | Naomie Harris,Sam Mendes,"When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory, the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve - following a trail to the mysterious Silva, whose lethal and hidden motives have yet to reveal themselves.",neutral,general,http://www.skyfall-movie.com
Spider-Man 2,Action | Adventure | Fantasy,Tobey Maguire | Kirsten Dunst | James Franco | Alfred Molina | Rosemary Harris,Sam Raimi,"Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood.",happy,relationships,http://www.sonypictures.com/movies/spider-man2/
Iron Man 3,Action | Adventure | Science Fiction,Robert Downey Jr. | Gwyneth Paltrow | Don Cheadle | Guy Pearce | Rebecca Hall,Shane Black,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",neutral,general,http://marvel.com/ironman3
Alice in Wonderland,Family | Fantasy | Adventure,Mia Wasikowska | Johnny Depp | Anne Hathaway | Helena Bonham Carter | Crispin Glover,Tim Burton,"Alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an English nobleman. At her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called 'Underland,' she finds herself in a world that resembles the nightmares she had as a child, filled with talking animals, villainous queens and knights, and frumious bandersnatches. Alice realizes that she is there for a reason – to conquer the horrific Jabberwocky and restore the rightful queen to her throne.",neutral,entertainment,http://disney.go.com/wonderland/
X-Men: The Last Stand,Adventure | Action | Science Fiction | Thriller,Hugh Jackman | Halle Berry | Ian McKellen | Patrick Stewart | Famke Janssen,Brett Ratner,"When a cure is found to treat mutations, lines are drawn amongst the X-Men and The Brotherhood, a band of powerful mutants organized under Xavier's former ally, Magneto.",neutral,general,
Monsters University,Animation | Family,Billy Crystal | John Goodman | Steve Buscemi | Helen Mirren | Noah Johnston,Dan Scanlon,A look at the relationship between Mike and Sulley during their days at Monsters University — when they weren't necessarily the best of friends.,neutral,relationships,
Transformers: Revenge of the Fallen,Science Fiction | Action | Adventure,Shia LaBeouf | Megan Fox | Josh Duhamel | Rainn Wilson | Tyrese Gibson,Michael Bay,"Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.",sad,general,http://www.transformersmovie.com/
Transformers: Age of Extinction,Science Fiction | Action | Adventure,Mark Wahlberg | Stanley Tucci | Kelsey Grammer | Nicola Peltz | Jack Reynor,Michael Bay,"As humanity picks up the pieces, following the conclusion of ""Transformers: Dark of the Moon,"" Autobots and Decepticons have all but vanished from the face of the planet. However, a group of powerful, ingenious businessman and scientists attempt to learn from past Transformer incursions and push the boundaries of technology beyond what they can control - all while an ancient, powerful Transformer menace sets Earth in his cross-hairs.",sad,general,http://www.transformersmovie.com
Oz: The Great and Powerful,Fantasy | Adventure | Family,James Franco | Mila Kunis | Rachel Weisz | Michelle Williams | Zach Braff,Sam Raimi,"Oscar Diggs, a small-time circus illusionist and con-artist, is whisked from Kansas to the Land of Oz where the inhabitants assume he's the great wizard of prophecy, there to save Oz from the clutches of evil.",neutral,general,http://www.ozthegreatandpowerfulmovie.com
The Amazing Spider-Man 2,Action | Adventure | Fantasy,Andrew Garfield | Emma Stone | Jamie Foxx | Dane DeHaan | Campbell Scott,Marc Webb,"For Peter Parker, life is busy. Between taking out the bad guys as Spider-Man and spending time with the person he loves, Gwen Stacy, high school graduation cannot come quickly enough. Peter has not forgotten about the promise he made to Gwen’s father to protect her by staying away, but that is a promise he cannot keep. Things will change for Peter when a new villain, Electro, emerges, an old friend, Harry Osborn, returns, and Peter uncovers new clues about his past.",happy,relationships,http://www.theamazingspiderman.com
TRON: Legacy,Adventure | Action | Science Fiction,Garrett Hedlund | Jeff Bridges | Olivia Wilde | Bruce Boxleitner | Yaya DaCosta,Joseph Kosinski,"Sam Flynn, the tech-savvy and daring son of Kevin Flynn, investigates his father's disappearance and is pulled into The Grid. With the help of a mysterious program named Quorra, Sam quests to stop evil dictator Clu from crossing into the real world.",neutral,general,http://disney.go.com/tron/
Cars 2,Animation | Family | Adventure | Comedy,Owen Wilson | Larry the Cable Guy | Michael Caine | Emily Mortimer | John Turturro,John Lasseter,Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.,excited,entertainment,http://www.disney.go.com/cars/
Green Lantern,Adventure | Action | Thriller | Science Fiction,Ryan Reynolds | Blake Lively | Peter Sarsgaard | Tim Robbins | Mark Strong,Martin Campbell,"For centuries, a small but powerful force of warriors called the Green Lantern Corps has sworn to keep intergalactic order. Each Green Lantern wears a ring that grants him superpowers. But when a new enemy called Parallax threatens to destroy the balance of power in the Universe, their fate and the fate of Earth lie in the hands of the first human ever recruited.",sad,general,http://greenlanternmovie.warnerbros.com/
Toy Story 3,Animation | Family | Comedy,Tom Hanks | Tim Allen | Ned Beatty | Joan Cusack | Michael Keaton,Lee Unkrich,"Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.",neutral,entertainment,http://disney.go.com/toystory/
Terminator Salvation,Action | Science Fiction | Thriller,Christian Bale | Sam Worthington | Anton Yelchin | Moon Bloodgood | Bryce Dallas Howard,McG,"All grown up in post-apocalyptic 2018, John Connor must lead the resistance of humans against the increasingly dominating militaristic robots. But when Marcus Wright appears, his existence confuses the mission as Connor tries to determine whether Wright has come from the future or the past -- and whether he's friend or foe.",neutral,general,https://www.warnerbros.com/terminator-salvation
Furious 7,Action,Vin Diesel | Paul Walker | Dwayne Johnson | Michelle Rodriguez | Tyrese Gibson,James Wan,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,sad,relationships,http://www.furious7.com/
World War Z,Action | Drama | Horror | Science Fiction | Thriller,Brad Pitt | Mireille Enos | Abigail Hargrove | Sterling Jerins | James Badge Dale,Marc Forster,"Life for former United Nations investigator Gerry Lane and his family seems content. Suddenly, the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies. After barely escaping the chaos, Lane is persuaded to go on a mission to investigate this disease. What follows is a perilous trek around the world where Lane must brave horrific dangers and long odds to find answers before human civilization falls.",neutral,relationships,http://www.worldwarzmovie.com
X-Men: Days of Future Past,Action | Adventure | Fantasy | Science Fiction,Hugh Jackman | James McAvoy | Michael Fassbender | Jennifer Lawrence | Halle Berry,Bryan Singer,The ultimate X-Men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past – to save our future.,sad,general,http://www.x-menmovies.com/
Star Trek Into Darkness,Action | Adventure | Science Fiction,Chris Pine | Zachary Quinto | Zoe Saldana | Karl Urban | Simon Pegg,J.J. Abrams,"When the crew of the Enterprise is called back home, they find an unstoppable force of terror from within their own organization has detonated the fleet and everything it stands for, leaving our world in a state of crisis.  With a personal score to settle, Captain Kirk leads a manhunt to a war-zone world to capture a one man weapon of mass destruction. As our heroes are propelled into an epic chess game of life and death, love will be challenged, friendships will be torn apart, and sacrifices must be made for the only family Kirk has left: his crew.",happy,relationships,
Jack the Giant Slayer,Action | Family | Fantasy,Nicholas Hoult | Eleanor Tomlinson | Ewan McGregor | Stanley Tucci | Ian McShane,Bryan Singer,"The story of an ancient war that is reignited when a young farmhand unwittingly opens a gateway between our world and a fearsome race of giants. Unleashed on the Earth for the first time in centuries, the giants strive to reclaim the land they once lost, forcing the young man, Jack into the battle of his life to stop them. Fighting for a kingdom, its people, and the love of a brave princess, he comes face to face with the unstoppable warriors he thought only existed in legend–and gets the chance to become a legend himself.",happy,relationships,http://jackthegiantkiller.warnerbros.com
The Great Gatsby,Drama | Romance,Leonardo DiCaprio | Tobey Maguire | Carey Mulligan | Joel Edgerton | Elizabeth Debicki,Baz Luhrmann,"An adaptation of F. Scott Fitzgerald's Long Island-set novel, where Midwesterner Nick Carraway is lured into the lavish world of his neighbor, Jay Gatsby. Soon enough, however, Carraway will see through the cracks of Gatsby's nouveau riche existence, where obsession, madness, and tragedy await.",neutral,general,
Prince of Persia: The Sands of Time,Adventure | Fantasy | Action | Romance,Jake Gyllenhaal | Gemma Arterton | Ben Kingsley | Alfred Molina | Steve Toussaint,Mike Newell,"A rogue prince reluctantly joins forces with a mysterious princess and together, they race against dark forces to safeguard an ancient dagger capable of releasing the Sands of Time – gift from the gods that can reverse time and allow its possessor to rule the world.",sad,general,http://disney.go.com/disneypictures/princeofpersia
Pacific Rim,Action | Science Fiction | Adventure,Idris Elba | Charlie Hunnam | Charlie Day | Ron Perlman | Burn Gorman,Guillermo del Toro,"When legions of monstrous creatures, known as Kaiju, started rising from the sea, a war began that would take millions of lives and consume humanity's resources for years on end. To combat the giant Kaiju, a special type of weapon was devised: massive robots, called Jaegers, which are controlled simultaneously by two pilots whose minds are locked in a neural bridge. But even the Jaegers are proving nearly defenseless in the face of the relentless Kaiju. On the verge of defeat, the forces defending mankind have no choice but to turn to two unlikely heroes—a washed-up former pilot (Charlie Hunnam) and an untested trainee (Rinko Kikuchi)—who are teamed to drive a legendary but seemingly obsolete Jaeger from the past. Together, they stand as mankind's last hope against the mounting apocalypse.",sad,general,http://www.pacificrimmovie.com/
Transformers: Dark of the Moon,Action | Science Fiction | Adventure,Shia LaBeouf | John Malkovich | Ken Jeong | Frances McDormand | Josh Duhamel,Michael Bay,"Sam Witwicky takes his first tenuous steps into adulthood while remaining a reluctant human ally of Autobot-leader Optimus Prime. The film centers around the space race between the USSR and the USA, suggesting there was a hidden Transformers role in it all that remains one of the planet's most dangerous secrets.",neutral,general,http://www.transformersmovie.com/
Indiana Jones and the Kingdom of the Crystal Skull,Adventure | Action,Harrison Ford | Cate Blanchett | Shia LaBeouf | Ray Winstone | Karen Allen,Steven Spielberg,"Set during the Cold War, the Soviets – led by sword-wielding Irina Spalko – are in search of a crystal skull which has supernatural powers related to a mystical Lost City of Gold. After being captured and then escaping from them, Indy is coerced to head to Peru at the behest of a young man whose friend – and Indy's colleague – Professor Oxley has been captured for his knowledge of the skull's whereabouts.",sad,general,http://www.indianajones.com/site/index.html
The Good Dinosaur,Adventure | Animation | Family,Raymond Ochoa | Jack Bright | Jeffrey Wright | Frances McDormand | Maleah Nipay-Padilla,Peter Sohn,An epic journey into the world of dinosaurs where an Apatosaurus named Arlo makes an unlikely human friend.,neutral,general,http://movies.disney.com/the-good-dinosaur
Brave,Animation | Adventure | Comedy | Family | Action | Fantasy,Kelly Macdonald | Julie Walters | Billy Connolly | Emma Thompson | Kevin McKidd,Brenda Chapman,"Brave is set in the mystical Scottish Highlands, where Mérida is the princess of a kingdom ruled by King Fergus and Queen Elinor. An unruly daughter and an accomplished archer, Mérida one day defies a sacred custom of the land and inadvertently brings turmoil to the kingdom. In an attempt to set things right, Mérida seeks out an eccentric old Wise Woman and is granted an ill-fated wish. Also figuring into Mérida’s quest — and serving as comic relief — are the kingdom’s three lords: the enormous Lord MacGuffin, the surly Lord Macintosh, and the disagreeable Lord Dingwall.",neutral,general,http://disney.go.com/brave/#/home
Star Trek Beyond,Action | Adventure | Science Fiction,Chris Pine | Zachary Quinto | Karl Urban | Simon Pegg | Zoe Saldana,Justin Lin,"The USS Enterprise crew explores the furthest reaches of uncharted space, where they encounter a mysterious new enemy who puts them and everything the Federation stands for to the test.",neutral,general,http://www.startrekmovie.com/
WALL·E,Animation | Family,Ben Burtt | Elissa Knight | Jeff Garlin | Fred Willard | John Ratzenberger,Andrew Stanton,"WALL·E is the last robot left on an Earth that has been overrun with garbage and all humans have fled to outer space. For 700 years he has continued to try and clean up the mess, but has developed some rather interesting human-like qualities. When a ship arrives with a sleek new type of robot, WALL·E thinks he's finally found a friend and stows away on the ship when it leaves.",neutral,general,http://disney.go.com/disneypictures/wall-e/
Rush Hour 3,Action | Comedy | Crime | Thriller,Chris Tucker | Jackie Chan | Hiroyuki Sanada | Max von Sydow | Yvan Attal,Brett Ratner,"After an attempted assassination on Ambassador Han, Inspector Lee and Detective Carter are back in action as they head to Paris to protect a French woman with knowledge of the Triads' secret leaders. Lee also holds secret meetings with a United Nations authority, but his personal struggles with a Chinese criminal mastermind named Kenji, which reveals that it's Lee's long-lost...brother.",sad,general,
2012,Action | Adventure | Science Fiction,John Cusack | Amanda Peet | Chiwetel Ejiofor | Thandie Newton | Oliver Platt,Roland Emmerich,"Dr. Adrian Helmsley, part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. He warns U.S. President Thomas Wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population, the entire race is doomed. Meanwhile, writer Jackson Curtis stumbles on the same information. While the world's leaders race to build ""arks"" to escape the impending cataclysm, Curtis struggles to find a way to save his family. Meanwhile, volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world.",sad,relationships,http://www.sonypictures.com/movies/2012
A Christmas Carol,Animation | Drama,Gary Oldman | Jim Carrey | Steve Valentine | Daryl Sabara | Sage Ryan,Robert Zemeckis,"Miser Ebenezer Scrooge is awakened on Christmas Eve by spirits who reveal to him his own miserable existence, what opportunities he wasted in his youth, his current cruelties, and the dire fate that awaits him if he does not change his ways. Scrooge is faced with his own story of growing bitterness and meanness, and must decide what his own future will hold: death or redemption.",sad,general,http://disney.go.com/disneypictures/achristmascarol/?cmp=dcom_VAN_WDSHE_ACC_van_dcomcc__Extl
Jupiter Ascending,Science Fiction | Fantasy | Action | Adventure,Mila Kunis | Channing Tatum | Sean Bean | Eddie Redmayne | Douglas Booth,Lilly Wachowski,"In a universe where human genetic material is the most precious commodity, an impoverished young Earth woman becomes the key to strategic maneuvers and internal strife within a powerful dynasty…",neutral,general,http://www.jupiterascending.com
The Legend of Tarzan,Action | Adventure,Alexander Skarsgård | Margot Robbie | Christoph Waltz | Samuel L. Jackson | Djimon Hounsou,David Yates,"Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.",neutral,general,http://legendoftarzan.com
